,comment,Label
288,Iyah pernah ditayangin di @diarymisterisara,netral
886,🥺🙏,netral
1548,Mba Sumi keren bgt ya bisa mesen ojol,positif
1181,Muka jodoh 😍😍😍😍😍😍😍😍😘😘😘😘,positif
337,Agendakan @nitakurniawt @eka.septiyana,positif
2072,KANGEN JOGJA BANGET😥,positif
2246,Banguntapan oyeaaaah! @noviananilaam,netral
1012,Kak plis cek dm,positif
1520,@zulkifliiskandarm @im.cimo @kayakoshi,positif
46,❤️❤️❤️,positif
747,@tim_jurnalrisa @risa_saraswati,positif
1864,Ganteng bgt mas abi,positif
753,bawa aku kesini mel @melinda.wari,positif
462,Aaaa rumah pocong sumi🥺🥺😍😍😍,positif
673,Aku kira mau D renov 😁,positif
1666,Jujur gue malah suka tempat kayak gini,positif
1463,Apapun yang di foto @awkarin buat ngiler😢,positif
1201,Serasiiii 💙💙💙,positif
1995,Cu bing bing,positif
2070,SUNG NIKAHHHHH LAHH KALIAN COCOK BET,positif
424,"Engga usah rin , makasih bnyak ☻",positif
325,serem browww,negatif
664,Gatau pusing & mual liatnya😭,negatif
350,🖤🖤🖤,positif
447,Angkringan ❤️😢,positif
1735,mulai laparrr,negatif
1041,Hadirrrr🔥🔥,positif
1221,Pusing liat nya wkwk,negatif
1830,Gemesh💟,positif
1149,Luar biasa sekali ciptaanmu ya allah❤️,positif
387,Gas yak bulan depan @desi_ventiana,positif
1369,💓💓💓,positif
1861,Iflixnya kak 1 tahun 22k🦋,netral
1337,Udh cocok bgt da,positif
754,@tata_sya17 apa yg kau liat nak,positif
138,ngangkring aja cakep😭,positif
451,Spot paling seram di ranjang besinya 🙂,positif
1194,Gass is @nr.ismaaulia_ 🤭 sekalian uji nyali,positif
699,pgn mudik jdinya:(((,positif
1583,Best outfit 😍😍,positif
1157,Pernah di yt diarymisterisara inii,positif
2122,@suryo.hadis,positif
1608,Ka karin knpa sih secantik itu parahhh😍,positif
830,F,netral
1102,Ini tuh film apa yaa,netral
950,ini udah pernah masuk di @diarymisterisara,positif
1019,@christin.evi bisalah di ceritakan,positif
2028,Ke sini .. biar syahdu 😍 @faizsaka,positif
1370,Kaos keren 35rb kak,positif
396,kak bikin vlog dong pliss,positif
1413,@cikaoct,positif
1409,big respect😢❤️,positif
1143,next trip bakal cobain kesana😍,positif
2026,Gaskun kaaaa,positif
1177,Longlast karin,positif
1969,Tayang tayang aku❣️,positif
1253,🔥🇮🇩👍🏿,positif
2123,"Di slide pertama juga ada ko, pd liat ga?",netral
21,Sate kambing mbak bella juga mantep bgt!😭❤️,positif
1305,"2 tusuk 25k? mahal amat )"":""",negatif
766,👻,positif
392,😍🔥💖,netral
250,Galau? Jogjain aja,negatif
1267,Ciye akhirnya di tag mas nya,positif
1918,Sate klathak terfav!!!,positif
1059,merinding,negatif
2057,😍😍,netral
671,Artinya apaan rin,netral
2166,🔥🔥,positif
845,@riofarllaso_ woiwoiwoi,positif
1937,Gemezz❤️,positif
1758,Merinding,negatif
1353,READY VOUCHER GOJEKNY KAK😍😍😍😍😍😍✨✨✨✨✨✨,positif
1133,Pernah ad d'DMS ka @sarawijayanto😖,positif
1403,Kek lebih berkelas gitu skrg 💕,positif
869,Seremmm,negatif
1638,@iqbaldwiyantoo,positif
604,😍😍😍,positif
1765,Mirip ih😍,positif
1725,foto yang terakhir tbl bgt,positif
627,Keanu jelek bgt,negatif
902,Angker rin,negatif
2239,Gatau kenapa mas abi cakep banget😭,positif
1606,Bener si abis liat foto nya pusing,negatif
856,Cutie,positif
1195,"LAGI DISKON GEDE! Kira"" aku jualan apa ya?""",netral
2289,SERASI!,positif
1262,@restyndrr_,netral
700,💙💙💙,positif
1886,deh,negatif
2018,Haaa antrinya 1 jam tapi enak bgt😂,positif
709,Dikasur rin,netral
448,😻😻,netral
321,Awkarin makan angkringan astetik,positif
2056,Kayak yg pernah didatengin @diarymisterisara,negatif
696,Jirr ada tembok,netral
1179,Jatuh.....jatuh....jatuh...😂,negatif
2127,yg nonton dms pasti udah tau,positif
624,cocokkkk kapan sebar undangan?,positif
2142,@tim_jurnalrisa,positif
125,Merinding aku😢,negatif
1011,ADEM BANGET LIAT NYA,positif
1480,GEMESSSSS,positif
1090,@itsme.frisllyherlind,positif
848,Fiks nomor 3:)),netral
780,huhuuu aku aja cuman lewat kak,netral
1697,Lahhh bacanya tengah malem gini yak,negatif
1650,Istimewah nya Daerah Ini 😍,positif
605,@izzatulhanifah42 cba tebak za,netral
174,😍😍😍,netral
2075,Tak ngapuro mbah,netral
1202,Pasangan yg kemarin sudah cerai ya😁,negatif
2092,Rnd jogja :(,positif
415,nur kesini aj @hiii.beach,positif
100,😻😻😻😻,netral
1270,Ini foto mama waktu galau nak,negatif
2241,Gk doyaannn amiisss 😭😭,negatif
741,Kesini dong kak @tim_jurnalrisa😂,positif
334,enak banget ini kaaa demi apapun,positif
2082,"Slide 1 ada penampakan ya, 😂 ✌️",negatif
1138,💜💜,positif
834,@tim_jurnalrisa @risa_saraswati sabi lahhh😍,positif
1705,🔥🔥,positif
833,Ini yg dulu tim jurnalrisa pernah kesitu,netral
1244,Cocok abisss😍,positif
1415,@sarawijayanto 👏,positif
594,AAAAA KNPSI KAN GUE JG JD MAU KE JOGJA HUA🥺🥺,positif
939,❤️🔥🔥,positif
1333,Bacanya nusuk banget 😭,negatif
2156,i ship u both 4ever!!! amiinn,positif
169,🥺🥺🥺,netral
1551,Slide ke 3 paling kerasaaaaa😲,negatif
1803,Take me @massudar_26 yaa,positif
1269,awkuliner 😍,positif
1709,Aduh mas abi 😍😍😍😍😍😍,netral
1542,beuh❤,negatif
2229,kesini ya nanti lu @asridwiwiw,positif
1857,😘😘😘,netral
1418,@wnztri 😬,positif
640,Sukakk❤️,positif
104,Baru sekarang di upload,netral
815,Ini rumah pocong sumi,netral
2154,Mbk soomi pasti dari Korea 😢,netral
1597,Uwu,netral
1982,"Aura Karin beda,kek serem gimana gitu.",negatif
998,merupakan adalah,netral
1075,Hy,positif
1626,@safiafabi bepi takon adimu wkwk,positif
1378,Mencekam banget :'),negatif
719,Lope you Karin💋,positif
460,Habis dari sini wajib bgt pijet 😂,negatif
1046,Kapan weki neng tuguuu 🙄,netral
1398,😘😘,positif
1562,Tasnya mao jatooh kak,negatif
1242,"pipinya,bahagia bgt🌈",positif
585,Untung aku anak Indihom ..,positif
1816,Liat nya aja udh merinding 😩,negatif
1836,Langgang ka kayinn,positif
1389,Mulai dari 1000an kak 🙂,positif
1438,mas abi porsinya banyak juga wkwk,positif
1229,@abbi_suryo kamu tau tmpt ini gak?,netral
1522,ini prnh di telusuri DMS kann?,netral
497,@nurfaida__ baru ngomongin kemaren humm,positif
1540,@kayliazmi_ ceritain dong ada apaaa,netral
702,Angkringan Mang Udin di Jl. Pramuka the best,positif
1700,💙💙💙💙💙,netral
375,Kali ini wajahnya mirip @awkarin 🤭🤭,positif
975,Ko liat foto ya nyesek ya😢,negatif
1209,cuy ini bukan @annisfauuz 😢,positif
2279,Deket dari rumahku nih😍,positif
404,Maniss banget❤️,positif
1730,Jogja❤,positif
419,🔥🔥🔥,positif
1425,"Slide ke 3,5 ama terakhir...ehehe",netral
1852,Fiks mirip,positif
93,wowwww,positif
1465,Kamu kapan ?!!! @cangkitung,netral
1156,Jadi Inget perempuan tanah jahannam,positif
1769,first,positif
173,❤️❤️❤️,netral
690,bagi dong ka aw,positif
827,@tim_jurnalrisa @risa_saraswati,positif
428,Coba jelaskan dek @helsarianty_25 😂,positif
1912,Gemeshhh!♥️😍😍,positif
1139,Slide terakhir 😢😢😢 ga tega 😢,negatif
32,sukaa captionnyaaa,positif
718,Galupa dan ini harus @fisemil98,positif
282,J,netral
1935,"Makasih deh, gamau dielus.",positif
1120,"gataulah males, w seneng beud liatnya😭",positif
1959,@rahmanhanan_,positif
635,OTW,positif
738,Caption needed,positif
499,NIKAH NIKAH NIKAH NIKAH NAPA🙁😭😭😭😭😭,netral
1098,💛💛,positif
1113,😭😭,negatif
1574,😮😮😮,negatif
691,Sumpah iya cakepp parahhhh😩😩😍,positif
1917,gemay😭❤️,positif
0,aku anak indomie hadir,netral
1582,Muka nyaa mirip semoga jodoh ka ♥️,positif
1707,cubatttt,positif
1416,@risa_saraswati,positif
1500,cek igku yuk,positif
1173,Tebak aku jualan apaa??,netral
1543,Karin cakep amat dah 🖤,positif
926,@tn.arief,positif
1131,manusia satu ini ngambil sate aja cantik bgt😭,positif
1371,as always sate klathak wkwk,positif
1669,Di jadiin cafe😂😂,positif
2039,kesini yu sayanggg @chandraaditya2 😍,positif
1247,@cafe.latteh apakah adaa? Wkwk,netral
2045,mau bikin pelangi ? @keanuagl,positif
327,semoga dilancarkan sampai akad. aamiin💞👼,positif
102,So proud of you ❤️,positif
1347,Slide ke 3 aurany 🥲,negatif
1644,Mbah marijan 😥,positif
1499,Itu tadinya rumah apa?,netral
213,😍😍,positif
2297,Kangen ke jogja😭,positif
1159,Pecahhh,positif
852,Mudik slalu kesini... the best,positif
246,Cocok,positif
72,Aku yg asli Kotagede kagak berani kesono,negatif
2069,Manis banget senyum nya😍😍😍😍,positif
2192,Ganti lagi kak ? @awkarin,negatif
1671,Cek postingan gua woy ada si jamet beraksi,negatif
1948,Anjaii @diippeee,negatif
2111,Lihatnya kok deg-degan ya ...,negatif
1461,Asiknya😍😍,positif
1225,@febykagreta,positif
365,Buat syuting film cocok banget ini🔥,positif
248,mirippppp😍😍😍😍,positif
736,Kuliner wajib jogja daerah selatan 😍,positif
26,Rumah pocong sih ini ....,negatif
836,@ussfeeds,netral
2049,Asli langsung pusing lihatnya,negatif
1441,@karisakais liat apa hayoo,netral
444,Lets go my home 🔥😂,positif
680,Aku mah apa cm anak indomie.. 😔,negatif
1989,Case customnya kak,positif
1250,Sumpah liat ini pgn bengawan @auvisqaaa,positif
3,"Ini tempat yg pernah didatengin DMS itu, kan?",positif
134,Wow 10menit:),positif
837,10 menit??? 10 detik aja gamau disana :'),negatif
355,yaampun😍,netral
292,Di slide 3 ehem ada perasaan aneh hehe,negatif
698,Tempatnya serem 😢,negatif
1048,Mampir ke solo ka 😅,positif
2130,kukira uda gabole dimasukin🥲,negatif
2199,@ifaa.sr pernah kesini?😂,netral
369,Awseremmmm kek nya seruuu nich 😭😭😭🔥,positif
2014,First 🔥,positif
1252,"galau baliin aja, seneng jogjain aja..",positif
2158,Slide terakhir sedihnya sampe 😢,negatif
1667,pengen di elus²🙌,netral
1249,Ini yang ada di podcast nya sara Wijayanto,positif
226,Kotagede 👏👏👏,positif
1866,Main film nih,positif
1393,😍😍,netral
1298,❤️,positif
1868,Semoga lancar sampai hari H 😇😘,positif
339,Mirip bgt anjay,positif
1443,Koq agak mual pusing,negatif
2139,Azeeqq,positif
603,anjaee mae,netral
1468,Pengen nangis😌,negatif
1289,😍😍😍😍😍,positif
454,😘😘😘😘,netral
63,😍,positif
1579,Bidadari bumi🔥,positif
1883,Apa cuma gue yg liat mereka mirip? 😕😅,positif
990,@jdykrnwn_,netral
1384,Merindiing🥺🥺,netral
237,Serasiii🔥,positif
650,Jangan ganti lagi plis,negatif
112,@aistiiiiii,positif
2284,😍,positif
1348,@fikriro_  kesituuuu,positif
804,Dek karin sayang...,positif
1556,@fathur_rr22,netral
577,Karin❤️❤️❤️,netral
1834,❤️❤️❤️,positif
126,"mas abi,,,,,",netral
1283,Jogja 🇮🇩,positif
1008,Cocok kalian berdua cute😘,positif
1909,Cuma liat ekor ular😢,negatif
2132,Tolooong collab sama @awkarin,positif
1745,First🔥,positif
2053,Salfok ke kak @keanuagl 😬,positif
2104,Mirip banget kalian😍,positif
851,Kerennnnnn😍,positif
2252,itu nahan posenya capek gak kak🙈,negatif
694,@diarycewekindigo 🙏🙏,netral
137,ini yg di telusuri nyai sara kan yaa,positif
1009,Aminnn🙌,netral
617,Apa cuman gw liat penampakan yg di falfon😢😢,negatif
7,PENGENN,positif
502,Dingin bgt auranyaaa 😢,negatif
854,👏,positif
947,"pundakku sakit, sesek nafas. 😢",negatif
631,Canciiiii,positif
1845,Mesen ojol gimana caranya😢 kan ga punya hp 😢,negatif
2195,😍😍😍😍😍,netral
929,Untung aku anak seblak 🤣🤣,positif
2096,HWA NGILER ONLINE 😭😭😭,positif
2207,@sarawijayanto @diarymisterisara,positif
407,ayooo tiara liat ini @diarycewekindigo,positif
697,KOQ KALIAN MIRIP BGTSIII,positif
357,@stelaaelena silahkan kak,positif
1377,eh ada anak kecil @sopaayyyy ….,positif
1812,Jawab ju @rrawlndr 🤣,netral
153,😍😍,positif
1590,@diarycewekindigo,netral
1566,ganteng bgt si abi😘😘😘😘,positif
343,Karin udah nggak sama gangga ???,negatif
305,enake mba aku mau dong xixi,positif
1004,Dielus-elus euyy😩,positif
612,@hermawanyudhisaputra,positif
2033,"Aku anak indihome, ga bs liat apa2😢",positif
280,Deket rumah gw tu😢,positif
663,Tau tempat ini dari @diarymisterisara 😍😍😍,positif
1773,@tim_jurnalrisa mau coba kesinii gaa?,positif
882,@lailyhdyttt kalah kon mbek awkarin,negatif
1080,Abi cute,netral
400,yg terakhir auranya merinding bgt pls😭😭,negatif
1596,Suka liatnya😻😻😻😽,positif
1497,Keren buat hunt,positif
468,Mirippp bgttt 😍,positif
1479,"Sumpah merinding bgt,  hadeeh... 😢😢",negatif
1233,aduhh😍,negatif
1798,TAK COCOK:(!,negatif
1763,Karin love you,positif
1800,Woww gantenk,positif
2281,pusing bgt liatnya,negatif
504,@adityanofeb,positif
534,Kak di manado ya?? Mau titip pisang ambon,netral
1016,@pikacuwk,positif
1744,❤️❤️❤️,positif
903,sumpah yg kamar kiri ituu ngerii😮,negatif
1037,takooottt,negatif
1672,Meee,positif
1703,Aku sampe muaall si. Merinding bgt kan.. sama,negatif
550,Next Purwokerto dong Rin😖,positif
1862,aliiggg,negatif
889,💛💛,netral
1805,Y,netral
1324,Udah aku setuju sama yang ini mah .,positif
2269,Direply karin aku berenti nakal!!,positif
1130,Slide 8 ke berasa ada yang lagi berbaring 😢,negatif
945,😍😍😍,positif
1594,r u guys dating?,netral
163,sereeemmmm ehh,negatif
1660,Mirip semoga jodoh,positif
1690,@ftrrmddd_,netral
336,Omg slide terakhir 😢,negatif
59,liatnya jadi pusinh,negatif
1118,Kleaan emg gemes,positif
2226,@ya.gian,positif
1077,"@nurulkharista suram, kyk...",negatif
1514,🖤🖤,positif
2165,Ppl,netral
449,Inii dimanaa kaak? 😮,positif
855,❤️❤️❤️❤️,netral
2030,cocok ka,positif
2020,@sanino___ @meilaniel @rdyusufks,positif
2181,ludcuuuuuu😍,positif
1532,Mantaaaabppssss ka karin🎉,positif
1847,Gak tau ya kenapa aku liat nya jd pusing,positif
1963,@tim_jurnalrisa @risa_saraswati,positif
1850,MAN CAKEP BAT,positif
437,kerennn😭,positif
1694,Benar banget kaks👍,positif
1587,Mas abiiiii 💙,netral
1314,mas abi kecolok jepit...,negatif
1397,@tim_jurnalrisa @risa_saraswati,netral
786,Jadi kangen Jogja deh😥,positif
873,Nah ini calon bini🤣,positif
739,❤️❤️❤️,positif
819,Yang buat shooting diarymisterisara gak sih,positif
1243,I see 🔥,positif
1457,Cobain gacoan kaa,positif
1006,aku anak indomie 😔,netral
1844,❤️❤️,positif
586,Aku melihat tanda2 akhir bulan,negatif
1306,Keren bgt tempat nya @awkarin,positif
941,Turun dri situ pasti degdegan🤣,negatif
348,cobaain ayokkssss @ismun2510_,positif
2085,Slide terakhir tempat para rame itu😂😂,netral
1028,😍😍😍😍,netral
1163,buruan ke jogjaaa!!! @nadyaaans @anandamatory,positif
2109,Cantikk😍😍😍,positif
463,😍😍😍😍😍,netral
1231,Burem mataku 😂,negatif
1160,@ikha_rustikasari yang ini bukan beng?,netral
2230,@nandiyata,netral
1541,Main kebumen kak🤗,positif
653,lucuuu,positif
573,@tim_jurnalrisa harus kesini ni👏👏👏,positif
1992,Mirip bgt sumpah dahh❤️❤️❤️,positif
647,Aku pikir lukisan 😍,positif
595,Sayang mau @hhallohh,positif
890,Kaki 4 ada ka ? 😂,netral
1251,❤️❤️❤️❤️❤️❤️❤️❤️❤️,positif
1558,dipojok ada dodi,netral
1308,seremmm,negatif
470,Juaraaaaa pokoknya 🤤,positif
800,knp kita ga kesini @laohlaohlaoh,positif
281,Spill sendalnya donk rin @awkarin,positif
932,Yanda @bengbross,positif
732,"Lg icip"" menu yg pas buat prasmanan nanti""",netral
2102,pusing liatnya 😢,negatif
1144,Bsk mam sini @yuniamalindasari,positif
1617,Kok mirip yaa😍,positif
2061,semakin geser slide semakin ngewriii vibesnya,negatif
584,mual sm pusing banget yuyurrrr:(,negatif
160,😍😍,positif
1111,Ini pernah di yt nya sara wijayanto,positif
1915,Aura nya gaenak bgt dingin,negatif
859,Kok nyesek dan engap gitu ya pas liat,negatif
952,di tunggu vlog nya karinn,positif
2106,"OMG ,, bnyk penampakan,,",negatif
1331,Pengen lagi kan @kssfa,positif
1219,Hmmm😍,positif
1215,Pgn kesini lgii @rzkadwi_,positif
606,🖤🖤,netral
164,Liat ftonya juga takut apalagi aslinya,negatif
1040,@wulan.rmdh2 tau rung😂,positif
1978,rin ayok makan bareng,positif
2208,yauds ok,positif
329,Hai anak jogja @windyanggun @sri_rejeki0300,positif
2011,Segannn 🔥🔥🔥,positif
2221,dms pernah kesini ni,positif
1429,@tim_jurnalrisa @risa_saraswati,positif
2133,Malem malem seru nih kesitu.....,positif
809,Mau kesini @bernadmaeso,positif
433,Mirip ka ihh,positif
1107,Merinding sh iniii,negatif
860,Ayo sini😂😂😂 @febriantoandreas32,positif
274,Mas abi mba karinn😍😍😍,positif
967,Ini ada di youtubenya sara wijayanto kan?,netral
2275,Kerasa si vibes vibes seremnya,negatif
1346,❤❤❤,netral
885,pernah dipake shooting teh sara wijayanto,positif
556,@delianarsmwt HAYU JOGJA😭,positif
908,"aduh deket bgt sama rumah , ko ga mampir si 😂",positif
1381,yasss gue mau ngerasain rin 🙌❤️,positif
509,OUTFIT CANTIK2 start from 35rb aja✨✨,positif
221,You are like an angel falling from a tile✨✨,positif
1297,slide terakhir😖,netral
146,Kak Ayuk kesini @melatikusumaw,positif
1777,@keanuagl  ngapain wak ??,netral
1053,"Anak indomie, keknya gabisa ""liat"""" lainnya😢""",negatif
1822,Anak indomie diam saja sambil menikmati,negatif
508,Iya sayang iya,positif
323,😍😍😍😍,netral
1561,Bener karinn😭,positif
176,"Mual, pusing banget liatnya ☹️😢",negatif
1908,makin keren aja kontennya huhu🤟🤟🤟,positif
168,Ih cukul sekarang jadi terkenal @riaaaaih,positif
1400,@rimarimput tuh ayo,positif
1392,Anak indomie juga ga paham ginian :(,netral
136,kok boleh di dokumentasiin?,positif
1470,Huhhhh ko seremm,negatif
1278,❤️❤️❤️,netral
1973,Unchhh😍,positif
894,😍,netral
197,Ini akpol ka juga??7 hahaha @ainunnptrya,netral
1483,Uhwaa😍,netral
1792,Slide trkhrrrr lgsg merinding bgtttttttttt,negatif
2084,Rumah ku deket tempat e pak Pong,positif
767,Kyuuudy❤️,positif
2081,Lbih nikmat angkrgn GPU kk,positif
1112,😍😍😍,positif
2227,Paketnya termasuk supir?,netral
865,"Merinding,",negatif
1085,❤❤❤❤❤❤❤,netral
1447,Pernah nonton ini di @diarymisterisara,positif
199,Baca donggs @winterthiiings @cutiefiy,positif
429,@nadaaindrnti Liat apo kau mba,positif
1823,Mirip gasih,positif
1795,Gangga bwt gw ya rin 😆😆,netral
1970,Eh ko mirip yak,positif
730,Cobain @teddy_handoko,positif
297,"Slide ke 8, daet bgt horornya",negatif
2121,Ka Karin🔥,positif
807,lengket terus ya😍,netral
1565,Keanu mau dindinpadinding,netral
1172,😍😍,netral
2197,ajg gemes masa,positif
2203,Engap,negatif
821,Lokasi ini @diarymisterisara prnah kunjungi,positif
1241,Slide akhir sereeemmmm,negatif
1563,Sumi,netral
2191,uwuwww,positif
623,Mantra-mantra Jogja.,positif
1445,"software instagramnya kak, cek @bezcorp",netral
1718,Udah pernah di tayangin di @diarymisterisara,netral
1162,eyy sikarin ngebucin huwowowowo 😁,negatif
1640,🔥,positif
2201,rumah pocong,netral
1022,Pusing pas abis geser ke slide brikut🥲,negatif
1750,Sayang kalean lah pokok nya💕,positif
291,Panutanquuuue🔥🔥🔥,positif
2022,malam ini zara jugaa makan satee 😂,positif
1740,Kenapa di slide terakhir 😢,netral
1007,@dendiperdana_ ksini ya brou nnti,positif
67,DMS dah pernah kesini🔥,positif
24,nunggu satenya brp jam kak🤣👎🏻,negatif
216,2020 SAHH ❤️,positif
1910,Aku melihat tanda2 gajian masih lama😢,negatif
1153,Ishh💙💙,negatif
166,❤️❤️❤️❤️,positif
207,Penasarannn pengen dateng🔥🔥😍,positif
2089,Pusing langsung ya allah😭,negatif
591,sosweett❤️❤️,positif
1176,💜💜,netral
1720,Langsung agak gimana gtu,netral
1863,Slide terakhir mantap,positif
525,lgsg merinding liatnya😢,negatif
469,pernah nonton di diarymisetrisara,positif
1350,Kenapa ga malem aja fotonya🙈,netral
1531,Ikut penelusuran jurnalrisa dong rin😁,positif
928,ini tuh waktu sama kak @eri.carl,netral
1896,😍😍😍,netral
1619,@bentarsamoa,positif
1469,@dillanggraini__  gass gak siii,positif
1141,Semuka,positif
1913,Horornya kerasa banget,negatif
956,Makasih kak,positif
1488,mas abiii,netral
25,cantik kali awkarin🔥 @awkarin,positif
1134,Karin berani bgt👏👏,positif
925,@ttnaaulrhyuuuu gunakan kemampuanmu😂,positif
1552,💜💜💜💜💜,netral
843,Wihhh asikkk juga tuh😍,positif
1645,idola akuh😘😘😘,positif
1020,😍,netral
749,Mantap😍,positif
180,😍,netral
1272,sesek napas liatnya,negatif
1434,Lutunyaaaa😍😍😍,positif
607,Kukira tadi tulisannya TTTerapi 😂😂,netral
1352,Gas rabi kakkk🙂,positif
1904,😍,netral
1899,@makaylavanik iki van?,positif
94,b aja,negatif
770,💛💛,positif
637,❤️❤️❤️,negatif
1304,Duuuhhhhh... Banyak banget ituuuu👻💀☠️👽,negatif
1208,"Kok kepala ku pusing, merinding dan muallll",negatif
1395,@hafizh.koeswara mau keisni😭,positif
1578,Mirip bgttt yaampunn,positif
1198,Emang ini itu enak bgt guys😭😭😭👍,positif
275,Cocok 😍,positif
1152,Kayaknya fix sih inik😭😭,positif
1206,Kayak malaikan gila 💗😍😍😍 cantik total,positif
2080,bagus juga buat spot potoo,positif
1104,@tim_jurnalrisa wajib siiii,positif
307,@tim_jurnalrisa,netral
2059,Fiks besok botak,netral
872,envy,positif
86,Arti pesannya apa ?,netral
1435,Ini mah ga cuman poci isinya 😂,negatif
209,mauu makan bareng sama kak karinn😭,positif
1966,Ksniiii yuk 🤣 @deenishh @mirahildaa,positif
1987,Cute banget😩😍,positif
2171,😍😍😍😍,positif
931,Cek di yutub nya diary misteri sara,positif
2146,@tim_jurnalrisa,positif
130,@tim_jurnalrisa,positif
1723,Kapan karin ke jogja 😭😭 @awkarin,positif
2071,Suka bangett,positif
954,kesini yuk @papichulooo_06,positif
555,Gua suka vibes tempatnya 😍,positif
1930,👏,positif
1536,Siape tu yang lagi bertapa di foto 🤣akhir,netral
201,Makin cantik deh @awkarin Jd iri,positif
2023,Gw kira katrina kaif 😂,netral
368,Cocok😀♥️👍,positif
973,💖,positif
1634,@mualifahvivin92 ehm,positif
816,netflixnya ka buat nonton azab!😘,netral
1954,❤️❤️,netral
1316,😍♥️♥️♥️,netral
1905,Karin itu belakang kamu siapa namanya,netral
256,😍🔥🔥,positif
1472,Aw rindu jogjaa,positif
1699,Bentar gw tahu wisata ini. 😂 Rumah pocong,positif
2217,Duh ka karin😍😍,positif
1605,@cristinaclaudiaa katong su coba ee sis,positif
1329,Gaboleh next lagi!!!!!!! 🙌😍,positif
560,banyak bgt disitu 😳,negatif
1877,Demi apa murah2 bngt,positif
373,@roffi_wong 🤭,netral
1684,😮😮,negatif
1167,@novandwicahya_,positif
2024,"Maaf, mak adi masih yg paling enak 🙏",positif
1204,banyakkk yaaa:(((,positif
972,gangga?,netral
1155,kek lokasi syuting perempuan tanah jahanam 😮,positif
2036,Awal tahun dimulai dg yg manis,positif
2274,Ehhh nongol di slide terakhir,negatif
1071,alhamdulillah wis tau 🖐🏻🖐🏻,positif
774,🐣🌈,positif
324,Mantuul,positif
84,buchin 2 😂,negatif
1589,Kita nunggu 2 jam ya genggss😂😂 @gizelarmeina,netral
1920,❤️,positif
91,kangen jogja :(,positif
430,Tau tau,positif
2105,hahahahaancorrrr ):,negatif
1345,Knp lewat di tl gue jam segini sih?!,positif
257,Serambi ya bor 😮,netral
888,Cie jadian,netral
1466,Mantep,positif
1641,aku mau giveaway permasalahan hidup,negatif
388,🙌🏼❤️❤️,positif
273,😍😍😍😍😍,positif
756,slide tiga tbtb merinding bgt asli,negatif
1925,Sereem 😖,negatif
1956,Cantik kak,positif
2267,Nasi kucing 😺,positif
2176,❤️❤️❤️,positif
802,@tim_jurnalrisa,netral
2076,Luuuucuu😍,positif
1207,link bit.ly/pendekar99,netral
151,Mukanya mirip😭,positif
714,Sesek bgt liat slide awal2,negatif
544,Rinn spill bajunya doonggg,netral
639,😍😍😍,positif
423,@tim_jurnalrisa,positif
659,Ganteng ih pacar nya,positif
797,Mirip,positif
2283,dipinggir jalan malioboro kaaaakk,positif
2008,Yukk kesini Mbaksdins😂 @saifunadini,positif
99,kan makannn😂,netral
1871,Kerasa bgt merindingnya sampe sini 😂,negatif
2046,Sabi ning @tim_jurnalrisa Kesiniii yuyuyu,positif
755,Di @diarymisterisara adaaaa,positif
976,Rumah pocong kah,positif
2163,"Ke cimahi kak, y ginian banyak",positif
1940,😍,netral
2120,Yg stay jogja brani ga @tamlvly_ @faiizal_id,positif
537,Di tunggu kbr bahagia nya😅,positif
1701,Tp lantainya bersih,positif
2222,Deket rumah ku itu rin...,positif
2135,Kangen yogya banget banget.,positif
705,😍❤️❤️,netral
1828,Si Jenius ku❤️😍,positif
1778,❤️❤️❤️,netral
277,@muhammad_togi,positif
1033,😱😱😱,netral
1731,Abis ngeliat bawaanya mual yak,negatif
763,"Awas ka ketiban genteng,@awkarin",negatif
835,Bagus banget body nya..😍😍,positif
1653,@milkqisyy,positif
